start	end	text
0	2000	Konec.
30000	32000	Konec.
60000	62000	Konec.
90000	92000	Konec.
120000	122000	Konec.
150000	152000	Konec.
180000	182000	Konec.
210000	212000	Konec.
240000	242000	Konec.
270000	272000	Konec.
300000	302000	Konec.
330000	332000	Konec.
360000	362000	Konec.
390000	392000	Konec.
420000	421000	Konec.
422000	423000	Konec.
424000	425000	Konec.
426000	427000	Konec.
427000	428000	Konec.
429000	429300	Konec.
430000	431000	Konec.
431000	433000	Konec.
433000	434000	Konec.
434000	435000	Konec.
435000	436000	Konec.
436000	438000	Konec.
438000	439000	Konec.
439500	440000	Konec.
440000	442000	Konec.
442000	444000	Konec.
444000	445000	Konec.
445000	447000	Konec.
447000	448000	Konec.
448000	453380	Vhle prezence je přítomen dostatečný počet členů, aby se zastupitelstvo mohlo usnášet.
454000	458660	Omluvení s dnešním zastupitelstva jsou pan Ivo Mitáček, paní Jana Bazilová,
458780	460800	pan Pavel Sekula, pan Česmír Vančura.
461480	463520	Dřívější odchod nahlásil pan Tomáš Dudák.
464300	467340	V distanční účastí se nepřihlásil žádný členu zastupitelstva.
468340	472200	K ověření zápisu z dnešního zasedání určují titočně zastupitelstva
472200	474980	to pana Romana Kaňovského a pana Stanislava Skálu.
474980	480440	Zápis z 25. zasedání zastupitelstva z dnešního zase 26. března
480440	482700	byl bez připomínek ověřen a podepsán.
484540	488660	Vážení členy zastupitelstva, nyní prosím provedeme volbu návrové komise.
489200	492480	Do návrové komise navrhuji titočení zastupitelstva,
492640	497680	a to jako předsedkyní paní Michalu Blahovou a jako členy paní Zuzanu Fischerovou
497680	501480	a pana Vřetislava Prchala. Máte někdo k tomuto návrhu připomínky?
504980	509520	Nikdo se do diskuze nehlásí, takže prosím pojďme hlasovat o návrové komisi tak,
509600	510600	jak jsem ji přednesl.
510600	525880	Pro 34. návrhová komise byla zkválena.
527080	530220	Vzhledem k tomu, že zjednání zastupitelstva města z dnešního zase 26. března
530220	532800	na audiovizuální záznam, který je online přenášen.
533060	535920	Žádám všechny diskutující s ohledem na příslušná zákona
535920	541260	a ustanovení o ochraně osobních údajů, aby ve svých projevech neuváděli,
541340	545080	po případě minimalizovali používání osobních údajů
545080	548880	a pouze případně uvedli odkaz na tento údaj v materiálech.
549640	553300	Jako další bod dnešního zastupitelstva je vystoupení občanů
553300	555220	a tímto předávám slovo panu Pémníkovi.
556180	557340	Děkuji, pane primátore.
558820	562880	Vážené dámy, vážení pánové, dle jednacího řadu zastupitelstva města Zlína
562880	567460	odstavce 7 článku 7 odstavce 2 vystoupení občanů sdělují,
567500	573500	že máme celkem 3 přihlášky z veřejnosti k vystoupení občanů k tomuto bodu.
574260	578720	Prvním vystupujícím je pan Pavel Šimeček, jenom upozorňuji,
578720	582840	že maximální délka vystoupení jsou 4 minuty. Prosím, máte slovo.
583300	589220	Dobrý den, pane primátore. Dobrý den, vážené zastupitelstvo.
590560	595120	Přicházím k vám kvůli události, která se mě stala zhruba před měsícem,
596260	601140	která mě překvapila, trochu zaskočila a přišla mě líto.
602820	606260	Chtěl jsem svým elektrokolem jet snědajím pindula a nahoru.
606260	615240	Pokoušel jsem se nastoupit na obecinách, kde mi bylo řidičem vzděleno,
615580	620660	že elektrokola se, že zákaz přepraví, že se nepřepravují.
620660	625700	Tento zákaz mě poněkud překvapil, jak už jsem řekl,
626580	630840	a vytanula mi na mysli událost zhruba před setmi lety,
630900	637920	kdy jsem si své elektrokolo pořizoval a to mi bylo 62 let.
637920	644020	Řekl jsem si, že se poradím o této koupi se svým synovcem,
646920	651320	který je mnohonásobný mistr republiky v silnější cyklistice,
651320	652980	tak proč nejít za odborníkem.
654320	658320	A můj synovec říkal elektrokola, nemám je rád.
658920	660200	Říkám, proč se ti provedla?
661180	663540	No tak si představ tu situaci, kdy já,
664180	666780	profesionální cyklista v tréninku si vědu,
