Členové Rady města Zlína
Jméno a příjmení	Funkce	Polit. strana
Ing. et Ing. Jiří KOREC	primátor	ANO
Mgr. Pavel BRADA	náměstek primátora	ANO
Michal ČÍŽEK	náměstek primátora	ANO
Jana BAZELOVÁ	náměstkyně primátora - neuvolněná členka RMZ	ANO
Miroslav CHALÁNEK	náměstek primátora	ODS
Ing. Martina HLADÍKOVÁ	náměstkyně primátora	ODS
Vojtěch VOLF	náměstek primátora - neuvolněný člen RMZ	KDU-ČSL
Václav KOVÁŘ	uvolněný člen RMZ	ANO
Ing. Tomáš KRAJÍČEK	neuvolněný člen RMZ	ANO
MUDr. Pavel KONEČNÝ	neuvolněný člen RMZ	ODS
Jiří ROBENEK, MBA	uvolněný člen RMZ	Piráti
